parmseq,Outcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,selected_final,mlog10p
1, zccdc80 ,171,zLE8_TOTALSCOREinv,,0.2,0.01498172,3879,13.609289,3.10E-41,0.17,0.23,0.05,0.00003418,1,3.69E-40,1,1,40.50863831
1, zdpt ,444,zLE8_TOTALSCOREinv,,0.2,0.01502967,3924,13.594659,3.60E-41,0.17,0.23,0.05,0.00003418,1,4.33E-40,1,1,40.4436975
1, zskap1 ,1246,zLE8_TOTALSCOREinv,,0.22,0.01622375,3846,13.530529,8.70E-41,0.19,0.25,0.05,0.00003418,1,1.03E-39,1,1,40.06048075
1, zmfge8 ,903,zLE8_TOTALSCOREinv,,0.21,0.01594669,3871,13.382609,5.80E-40,0.18,0.24,0.05,0.00003418,1,6.83E-39,1,1,39.23657201
1, zicam1 ,669,zLE8_TOTALSCOREinv,,0.21,0.01597124,3866,13.378644,6.20E-40,0.18,0.24,0.05,0.00003418,1,7.14E-39,1,1,39.20760831
1, zfbp1 ,518,zLE8_TOTALSCOREinv,,0.21,0.01585544,3879,13.366137,7.20E-40,0.18,0.24,0.05,0.00003418,1,8.27E-39,1,1,39.1426675
1, zdpy30 ,445,zLE8_TOTALSCOREinv,,0.21,0.01593911,3892,13.294599,1.80E-39,0.18,0.24,0.05,0.00003418,1,2.04E-38,1,1,38.74472749
1, zces2 ,280,zLE8_TOTALSCOREinv,,0.21,0.01580583,3860,13.275582,2.30E-39,0.18,0.24,0.05,0.00003418,1,2.62E-38,1,1,38.63827216
1, zsult2a1 ,1312,zLE8_TOTALSCOREinv,,0.21,0.01588935,3870,13.249052,3.20E-39,0.18,0.24,0.05,0.00003418,1,3.63E-38,1,1,38.49485002
1, zkdr ,780,zLE8_TOTALSCOREinv,,0.21,0.01609531,3888,13.22959,4.10E-39,0.18,0.24,0.05,0.00003418,1,4.58E-38,1,1,38.38721614
1, zmvk ,936,zLE8_TOTALSCOREinv,,0.21,0.01599235,3801,13.144271,1.30E-38,0.18,0.24,0.05,0.00003418,1,1.40E-37,1,1,37.88605665
1, zst6gal1 ,1296,zLE8_TOTALSCOREinv,,0.21,0.01592762,3924,13.029002,5.10E-38,0.18,0.24,0.05,0.00003418,1,5.60E-37,1,1,37.29242982
1, zlsp1 ,852,zLE8_TOTALSCOREinv,,0.21,0.01599633,3870,12.95742,1.30E-37,0.18,0.24,0.05,0.00003418,1,1.40E-36,1,1,36.88605665
1, zcalb2 ,156,zLE8_TOTALSCOREinv,,0.21,0.0160664,3782,12.918529,2.20E-37,0.18,0.24,0.05,0.00003418,1,2.34E-36,1,1,36.65757732
1, zctso ,383,zLE8_TOTALSCOREinv,,0.21,0.01596937,3917,12.893641,2.80E-37,0.17,0.24,0.05,0.00003418,1,2.99E-36,1,1,36.55284197
1, zenpp7 ,479,zLE8_TOTALSCOREinv,,0.21,0.01630364,3763,12.873841,3.80E-37,0.18,0.24,0.05,0.00003418,1,4.06E-36,1,1,36.4202164
1, zmsr1 ,930,zLE8_TOTALSCOREinv,,0.2,0.01541331,3915,12.857789,4.30E-37,0.17,0.23,0.05,0.00003418,1,4.60E-36,1,0,36.36653154
1, ztnfrsf6b ,1381,zLE8_TOTALSCOREinv,,0.2,0.01580944,3851,12.828248,6.40E-37,0.17,0.23,0.05,0.00003418,1,6.77E-36,1,1,36.19382003
1, zfabp1 ,506,zLE8_TOTALSCOREinv,,0.2,0.0154632,3870,12.786704,1.10E-36,0.17,0.23,0.05,0.00003418,1,1.11E-35,1,0,35.95860731
1, zapbb1ip ,76,zLE8_TOTALSCOREinv,,0.21,0.01613547,3860,12.785635,1.10E-36,0.17,0.24,0.05,0.00003418,1,1.13E-35,1,1,35.95860731
1, zhspg2 ,664,zLE8_TOTALSCOREinv,,0.2,0.0156797,3854,12.775293,1.20E-36,0.17,0.23,0.05,0.00003418,1,1.27E-35,1,1,35.92081875
1, zifnlr1 ,682,zLE8_TOTALSCOREinv,,0.2,0.01605292,3870,12.645714,6.00E-36,0.17,0.23,0.05,0.00003418,1,6.16E-35,1,1,35.22184875
1, zfcn2 ,524,zLE8_TOTALSCOREinv,,0.2,0.01619572,3866,12.62543,7.70E-36,0.17,0.24,0.05,0.00003418,1,7.85E-35,1,1,35.11350927
1, zpbld ,1025,zLE8_TOTALSCOREinv,,0.2,0.0161783,3782,12.622204,8.30E-36,0.17,0.24,0.05,0.00003418,1,8.39E-35,1,1,35.08092191
1, zhsd11b1 ,659,zLE8_TOTALSCOREinv,,-0.2,0.01620512,3870,-12.584996,1.30E-35,-0.24,-0.17,0.05,0.00003418,1,1.26E-34,1,1,34.88605665
1, ztnfrsf1a ,1377,zLE8_TOTALSCOREinv,,0.2,0.01557972,3871,12.535677,2.30E-35,0.16,0.23,0.05,0.00003418,1,2.29E-34,1,0,34.63827216
1, znotch3 ,975,zLE8_TOTALSCOREinv,,-0.19,0.01530757,3924,-12.528654,2.40E-35,-0.22,-0.16,0.05,0.00003418,1,2.42E-34,1,0,34.61978876
1, zmad1l1 ,869,zLE8_TOTALSCOREinv,,0.2,0.01588266,3838,12.4792,4.60E-35,0.17,0.23,0.05,0.00003418,1,4.52E-34,1,0,34.33724217
